code,name,team_type,gender,country_code,events
IHOMTEAM6---GER01,Germany,ORG,M,GER,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
IHOWTEAM6---GER01,Germany,ORG,W,GER,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
LUGXRELAY6--GER01,Germany,ORG,X,GER,"[{'discipline': 'Luge', 'event': 'Team Relay'}]"
SJPXNHTEAM4-GER01,Germany,ORG,X,GER,"[{'discipline': 'Ski Jumping', 'event': 'Mixed Team'}]"
NCBMLH2X7.5KGER01,Germany,ORG,M,GER,"[{'discipline': 'Nordic Combined', 'event': 'Team Sprint'}]"
SJPMLHTEAM2-GER01,Germany,ORG,M,GER,"[{'discipline': 'Ski Jumping', 'event': ""Men's Super Team""}]"
SMTXRELAY---GER01,Germany,ORG,X,GER,"[{'discipline': 'Ski Mountaineering', 'event': 'Mixed Relay'}]"
SSKMTEAMPU--GER01,Germany,ORG,M,GER,"[{'discipline': 'Speed Skating', 'event': ""Men's Team Pursuit""}]"
SSKWTEAMPU--GER01,Germany,ORG,W,GER,"[{'discipline': 'Speed Skating', 'event': ""Women's Team Pursuit""}]"
BTHXRELAY4--GER01,Germany,ORG,X,GER,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
CCSWTEAMSP2-GER01,Germany,ORG,W,GER,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
CCSW4X7.5KM-GER01,Germany,ORG,W,GER,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
BTHM4X7.5KM-GER01,Germany,ORG,M,GER,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
BTHW4X6KM---GER01,Germany,ORG,W,GER,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
ALPWTC-----GER,Germany,ORG,W,GER,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
ALPMTC-----GER,Germany,ORG,M,GER,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
SBDXBXT-----GER01,Germany 1,ORGN,X,GER,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
FSKXPAIRS---ITA02,GHILARDI Rebecca / AMBROSINI Filippo,CPLW,X,ITA,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
FSKXICEDANCECAN01,GILLES Piper / POIRIER Paul,CPLW,X,CAN,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
LUGMDOUBLES-ROU01,GITLAN Vasile-Marian / SERBAN Darius-Lucian,CPLP,M,ROU,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}, {'discipline': 'Luge', 'event': 'Team Relay'}]"
FSKXPAIRS---AUS01,GOLUBEVA Anastasiia / GIOTOPOULOS MOORE Hektor,CPLW,X,AUS,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}]"
FSKXTEAM----GBR01,Great Britain,ORG,X,GBR,"[{'discipline': 'Figure Skating', 'event': 'Team Event'}]"
CCSMTEAMSP2-GBR01,Great Britain,ORG,M,GBR,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
CURXTEAM2---GBR01,Great Britain,ORG,X,GBR,"[{'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
CURWTEAM4---GBR01,Great Britain,ORG,W,GBR,"[{'discipline': 'Curling', 'event': 'Women'}]"
CURMTEAM4---GBR01,Great Britain,ORG,M,GBR,"[{'discipline': 'Curling', 'event': 'Men'}]"
SBDXBXT-----GBR01,Great Britain 1,ORGN,X,GBR,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
CCSWTEAMSP2-GRE01,Greece,ORG,W,GRE,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
FSKXICEDANCEITA01,GUIGNARD Charlene / FABBRI Marco,CPLW,X,ITA,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
LUGWDOUBLES-CHN01,GULIJIENAITI Adikeyoumu / ZHAO Jiaying,CPLP,W,CHN,"[{'discipline': 'Luge', 'event': ""Women's Doubles""}, {'discipline': 'Luge', 'event': 'Team Relay'}]"
BOBMTEAM2---GBR01,HALL Brad,CUSTOM,M,GBR,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---GBR01,HALL Brad,CUSTOM,M,GBR,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
FSKXICEDANCEAUS01,HARRIS Holly / CHAN Jason,CPLW,X,AUS,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}]"
FSKXPAIRS---GER01,HASE Minerva Fabienne / VOLODIN Nikita,CPLW,X,GER,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}]"
BOBWTEAM2---SUI01,HASLER Melanie,CUSTOM,W,SUI,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BOBWTEAM2---AUT02,HASLWANTER Lea,CUSTOM,W,AUT,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BOBMTEAM2---FRA01,HEINRICH Romain,CUSTOM,M,FRA,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---FRA01,HEINRICH Romain,CUSTOM,M,FRA,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
FSKXPAIRS---GER02,HOCKE Annika / KUNKEL Robert,CPLW,X,GER,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}]"
LUGMDOUBLES-UKR01,HOI Ihor / KACHMAR Nazarii,CPLP,M,UKR,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}, {'discipline': 'Luge', 'event': 'Team Relay'}]"
SKNXRELAY2--KOR01,HONG Sujung / JUNG Seunggi,CPLW,X,KOR,"[{'discipline': 'Skeleton', 'event': 'Mixed Team'}]"
BOBMTEAM4---USA01,HORN Kristopher,CUSTOM,M,USA,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBWTEAM2---CHN01,HUAI Mingming,CUSTOM,W,CHN,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
CCSWTEAMSP2-HUN01,Hungary,ORG,W,HUN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
STKXRELAY4--HUN01,Hungary,ORG,X,HUN,"[{'discipline': 'Short Track Speed Skating', 'event': 'Mixed Team Relay'}]"
STKM5000MRY4HUN01,Hungary,ORG,M,HUN,"[{'discipline': 'Short Track Speed Skating', 'event': ""Men's 5000m Relay""}]"
CCSMTEAMSP2-HUN01,Hungary,ORG,M,HUN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
CCSMTEAMSP2-ITA01,Italy,ORG,M,ITA,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
CCSM4X7.5KM-ITA01,Italy,ORG,M,ITA,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's 4 x 7.5km Relay""}]"
FSKXTEAM----ITA01,Italy,ORG,X,ITA,"[{'discipline': 'Figure Skating', 'event': 'Team Event'}]"
CURWTEAM4---ITA01,Italy,ORG,W,ITA,"[{'discipline': 'Curling', 'event': 'Women'}]"
CURXTEAM2---ITA01,Italy,ORG,X,ITA,"[{'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
CURMTEAM4---ITA01,Italy,ORG,M,ITA,"[{'discipline': 'Curling', 'event': 'Men'}]"
IHOWTEAM6---ITA01,Italy,ORG,W,ITA,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
IHOMTEAM6---ITA01,Italy,ORG,M,ITA,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
STKM5000MRY4ITA01,Italy,ORG,M,ITA,"[{'discipline': 'Short Track Speed Skating', 'event': ""Men's 5000m Relay""}]"
STKW3000MRY4ITA01,Italy,ORG,W,ITA,"[{'discipline': 'Short Track Speed Skating', 'event': ""Women's 3000m Relay""}]"
STKXRELAY4--ITA01,Italy,ORG,X,ITA,"[{'discipline': 'Short Track Speed Skating', 'event': 'Mixed Team Relay'}]"
SSKMTEAMPU--ITA01,Italy,ORG,M,ITA,"[{'discipline': 'Speed Skating', 'event': ""Men's Team Pursuit""}]"
SJPMLHTEAM2-ITA01,Italy,ORG,M,ITA,"[{'discipline': 'Ski Jumping', 'event': ""Men's Super Team""}]"
SMTXRELAY---ITA01,Italy,ORG,X,ITA,"[{'discipline': 'Ski Mountaineering', 'event': 'Mixed Relay'}]"
LUGXRELAY6--ITA01,Italy,ORG,X,ITA,"[{'discipline': 'Luge', 'event': 'Team Relay'}]"
SJPXNHTEAM4-ITA01,Italy,ORG,X,ITA,"[{'discipline': 'Ski Jumping', 'event': 'Mixed Team'}]"
NCBMLH2X7.5KITA01,Italy,ORG,M,ITA,"[{'discipline': 'Nordic Combined', 'event': 'Team Sprint'}]"
CCSWTEAMSP2-ITA01,Italy,ORG,W,ITA,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
CCSW4X7.5KM-ITA01,Italy,ORG,W,ITA,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
BTHW4X6KM---ITA01,Italy,ORG,W,ITA,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
BTHM4X7.5KM-ITA01,Italy,ORG,M,ITA,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
BTHXRELAY4--ITA01,Italy,ORG,X,ITA,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
ALPMTC-----ITA01,Italy 1,ORGN,M,ITA,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
ALPWTC-----ITA01,Italy 1,ORGN,W,ITA,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
SBDXBXT-----ITA01,Italy 1,ORGN,X,ITA,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
SBDXBXT-----ITA02,Italy 2,ORGN,X,ITA,"[{'discipline': 'Snowboard', 'event': 'Mixed Team Snowboard Cross'}]"
ALPWTC-----ITA02,Italy 2,ORGN,W,ITA,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
ALPMTC-----ITA02,Italy 2,ORGN,M,ITA,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
ALPMTC-----ITA03,Italy 3,ORGN,M,ITA,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
ALPWTC-----ITA03,Italy 3,ORGN,W,ITA,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
ALPWTC-----ITA04,Italy 4,ORGN,W,ITA,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
ALPMTC-----ITA04,Italy 4,ORGN,M,ITA,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
FSKXICEDANCEGER01,JANSE van RENSBURG Jennifer / STEFFAN Benjamin,CPLW,X,GER,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}]"
IHOWTEAM6---JPN01,Japan,ORG,W,JPN,"[{'discipline': 'Ice Hockey', 'event': 'Women'}]"
CURWTEAM4---JPN01,Japan,ORG,W,JPN,"[{'discipline': 'Curling', 'event': 'Women'}]"
FSKXTEAM----JPN01,Japan,ORG,X,JPN,"[{'discipline': 'Figure Skating', 'event': 'Team Event'}]"
NCBMLH2X7.5KJPN01,Japan,ORG,M,JPN,"[{'discipline': 'Nordic Combined', 'event': 'Team Sprint'}]"
SJPXNHTEAM4-JPN01,Japan,ORG,X,JPN,"[{'discipline': 'Ski Jumping', 'event': 'Mixed Team'}]"
SJPMLHTEAM2-JPN01,Japan,ORG,M,JPN,"[{'discipline': 'Ski Jumping', 'event': ""Men's Super Team""}]"
SSKMTEAMPU--JPN01,Japan,ORG,M,JPN,"[{'discipline': 'Speed Skating', 'event': ""Men's Team Pursuit""}]"
SSKWTEAMPU--JPN01,Japan,ORG,W,JPN,"[{'discipline': 'Speed Skating', 'event': ""Women's Team Pursuit""}]"
STKXRELAY4--JPN01,Japan,ORG,X,JPN,"[{'discipline': 'Short Track Speed Skating', 'event': 'Mixed Team Relay'}]"
STKW3000MRY4JPN01,Japan,ORG,W,JPN,"[{'discipline': 'Short Track Speed Skating', 'event': ""Women's 3000m Relay""}]"
STKM5000MRY4JPN01,Japan,ORG,M,JPN,"[{'discipline': 'Short Track Speed Skating', 'event': ""Men's 5000m Relay""}]"
SKNXRELAY2--DEN01,JOHANSEN Nanna / VESTERGAARD JOHANSEN Rasmus,CPLW,X,DEN,"[{'discipline': 'Skeleton', 'event': 'Mixed Team'}]"
LUGMDOUBLES-CHN01,JUBAYI Saikeyi / HOU Shuo,CPLP,M,CHN,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}, {'discipline': 'Luge', 'event': 'Team Relay'}]"
BOBMTEAM4---LAT01,KALENDA Jekabs,CUSTOM,M,LAT,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBMTEAM2---LAT01,KALENDA Jekabs,CUSTOM,M,LAT,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBWTEAM2---GER02,KALICKI Kim,CUSTOM,W,GER,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
FSKXPAIRS---USA01,KAM Ellie / O'SHEA Danny,CPLW,X,USA,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
FRSXAET-----KAZ01,Kazakhstan,ORG,X,KAZ,"[{'discipline': 'Freestyle Skiing', 'event': 'Mixed Team Aerials'}]"
CCSMTEAMSP2-KAZ01,Kazakhstan,ORG,M,KAZ,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
SJPMLHTEAM2-KAZ01,Kazakhstan,ORG,M,KAZ,"[{'discipline': 'Ski Jumping', 'event': ""Men's Super Team""}]"
STKXRELAY4--KAZ01,Kazakhstan,ORG,X,KAZ,"[{'discipline': 'Short Track Speed Skating', 'event': 'Mixed Team Relay'}]"
SSKWTEAMPU--KAZ01,Kazakhstan,ORG,W,KAZ,"[{'discipline': 'Speed Skating', 'event': ""Women's Team Pursuit""}]"
BTHXRELAY4--KAZ01,Kazakhstan,ORG,X,KAZ,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
CCSW4X7.5KM-KAZ01,Kazakhstan,ORG,W,KAZ,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
CCSWTEAMSP2-KAZ01,Kazakhstan,ORG,W,KAZ,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
BOBMTEAM2---KOR01,KIM Jinsu,CUSTOM,M,KOR,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---KOR01,KIM Jinsu,CUSTOM,M,KOR,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBWTEAM2---KOR01,KIM Yooran,CUSTOM,W,KOR,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
FSKXPAIRS---FRA01,KOVALEV Camille / KOVALEV Pavel,CPLW,X,FRA,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
BOBMTEAM4---LIE01,KRANZ Martin,CUSTOM,M,LIE,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBMTEAM2---LIE01,KRANZ Martin,CUSTOM,M,LIE,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
SKNXRELAY2--GER02,KREHER Susanne / JUNGK Axel,CPLW,X,GER,"[{'discipline': 'Skeleton', 'event': 'Mixed Team'}]"
FSKXICEDANCECAN02,LAJOIE Marjorie / LAGHA Zachary,CPLW,X,CAN,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
IHOMTEAM6---LAT01,Latvia,ORG,M,LAT,"[{'discipline': 'Ice Hockey', 'event': 'Men'}]"
CCSMTEAMSP2-LAT01,Latvia,ORG,M,LAT,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
LUGXRELAY6--LAT01,Latvia,ORG,X,LAT,"[{'discipline': 'Luge', 'event': 'Team Relay'}]"
BTHXRELAY4--LAT01,Latvia,ORG,X,LAT,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
CCSWTEAMSP2-LAT01,Latvia,ORG,W,LAT,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
CCSW4X7.5KM-LAT01,Latvia,ORG,W,LAT,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
BTHM4X7.5KM-LAT01,Latvia,ORG,M,LAT,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
BTHW4X6KM---LAT01,Latvia,ORG,W,LAT,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
FSKXICEDANCECAN03,LAURIAULT Marie-Jade / le GAC Romain,CPLW,X,CAN,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
BOBMTEAM4---CHN02,LI Chunjian,CUSTOM,M,CHN,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
BOBMTEAM2---CHN02,LI Chunjian,CUSTOM,M,CHN,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
SKNXRELAY2--CHN01,LIANG Yuxin / LIN Qinwei,CPLW,X,CHN,"[{'discipline': 'Skeleton', 'event': 'Mixed Team'}]"
FSKXICEDANCEKOR01,LIM Hannah / QUAN Ye,CPLW,X,KOR,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
BOBWTEAM2---TPE01,LIN Sin-Rong,CUSTOM,W,TPE,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
CCSWTEAMSP2-LTU01,Lithuania,ORG,W,LTU,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
BTHXRELAY4--LTU01,Lithuania,ORG,X,LTU,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
BTHW4X6KM---LTU01,Lithuania,ORG,W,LTU,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
BTHM4X7.5KM-LTU01,Lithuania,ORG,M,LTU,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
CCSMTEAMSP2-LTU01,Lithuania,ORG,M,LTU,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
BOBMTEAM2---GER02,LOCHNER Johannes,CUSTOM,M,GER,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---GER02,LOCHNER Johannes,CUSTOM,M,GER,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
FSKXICEDANCEFRA02,LOPAREVA Evgeniia / BRISSAUD Geoffrey,CPLW,X,FRA,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
BOBWTEAM2---CAN02,LOTHOLZ Melissa,CUSTOM,W,CAN,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BOBWTEAM2---USA02,LOVE Kaysha,CUSTOM,W,USA,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BOBMTEAM2---AUT02,MANDLBAUER Jakob,CUSTOM,M,AUT,"[{'discipline': 'Bobsleigh', 'event': '2-man'}]"
BOBMTEAM4---AUT02,MANDLBAUER Jakob,CUSTOM,M,AUT,"[{'discipline': 'Bobsleigh', 'event': '4-man'}]"
SKNXRELAY2--ITA01,MARGAGLIO Valentina / GASPARI Mattia,CPLW,X,ITA,"[{'discipline': 'Skeleton', 'event': 'Mixed Team'}]"
LUGMDOUBLES-UKR02,MARTSINOVSKYI Danyil / BABURA Bohdan,CPLP,M,UKR,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}]"
FSKXPAIRS---GEO01,METELKINA Anastasiia / BERULAVA Luka,CPLW,X,GEO,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
BOBWTEAM2---USA03,MEYERS TAYLOR Elana,CUSTOM,W,USA,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
FSKXPAIRS---JPN02,MIURA Riku / KIHARA Ryuichi,CPLW,X,JPN,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
FSKXICEDANCECZE02,MRAZKOVA Katerina / MRAZEK Daniel,CPLW,X,CZE,"[{'discipline': 'Figure Skating', 'event': 'Ice Dance'}]"
LUGMDOUBLES-USA01,MUELLER Marcus / HAUGSJAA Ansel,CPLP,M,USA,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}, {'discipline': 'Luge', 'event': 'Team Relay'}]"
FSKXPAIRS---JPN01,NAGAOKA Yuna / MORIGUCHI Sumitada,CPLW,X,JPN,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}, {'discipline': 'Figure Skating', 'event': 'Team Event'}]"
LUGMDOUBLES-ITA01,NAGLER Ivan / MALLEIER Fabian,CPLP,M,ITA,"[{'discipline': 'Luge', 'event': ""Men's Doubles""}]"
SSKWTEAMPU--NED01,Netherlands,ORG,W,NED,"[{'discipline': 'Speed Skating', 'event': ""Women's Team Pursuit""}]"
SSKMTEAMPU--NED01,Netherlands,ORG,M,NED,"[{'discipline': 'Speed Skating', 'event': ""Men's Team Pursuit""}]"
STKXRELAY4--NED01,Netherlands,ORG,X,NED,"[{'discipline': 'Short Track Speed Skating', 'event': 'Mixed Team Relay'}]"
STKM5000MRY4NED01,Netherlands,ORG,M,NED,"[{'discipline': 'Short Track Speed Skating', 'event': ""Men's 5000m Relay""}]"
STKW3000MRY4NED01,Netherlands,ORG,W,NED,"[{'discipline': 'Short Track Speed Skating', 'event': ""Women's 3000m Relay""}]"
BOBWTEAM2---GBR01,NICOLL Adele,CUSTOM,W,GBR,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
BOBWTEAM2---GER01,NOLTE Laura,CUSTOM,W,GER,"[{'discipline': 'Bobsleigh', 'event': '2-woman'}]"
ALPWTC-----NOR,Norway,ORG,W,NOR,"[{'discipline': 'Alpine Skiing', 'event': ""Women's Team Combined""}]"
BTHXRELAY4--NOR01,Norway,ORG,X,NOR,"[{'discipline': 'Biathlon', 'event': 'Mixed Relay 4 x 6km (M+W)'}]"
CCSWTEAMSP2-NOR01,Norway,ORG,W,NOR,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
BTHM4X7.5KM-NOR01,Norway,ORG,M,NOR,"[{'discipline': 'Biathlon', 'event': ""Men's 4 x 7.5km Relay""}]"
BTHW4X6KM---NOR01,Norway,ORG,W,NOR,"[{'discipline': 'Biathlon', 'event': ""Women's 4 x 6km Relay""}]"
CCSW4X7.5KM-NOR01,Norway,ORG,W,NOR,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
SSKMTEAMPU--NOR01,Norway,ORG,M,NOR,"[{'discipline': 'Speed Skating', 'event': ""Men's Team Pursuit""}]"
SJPMLHTEAM2-NOR01,Norway,ORG,M,NOR,"[{'discipline': 'Ski Jumping', 'event': ""Men's Super Team""}]"
SMTXRELAY---NOR01,Norway,ORG,X,NOR,"[{'discipline': 'Ski Mountaineering', 'event': 'Mixed Relay'}]"
SJPXNHTEAM4-NOR01,Norway,ORG,X,NOR,"[{'discipline': 'Ski Jumping', 'event': 'Mixed Team'}]"
NCBMLH2X7.5KNOR01,Norway,ORG,M,NOR,"[{'discipline': 'Nordic Combined', 'event': 'Team Sprint'}]"
CCSMTEAMSP2-NOR01,Norway,ORG,M,NOR,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
CCSM4X7.5KM-NOR01,Norway,ORG,M,NOR,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's 4 x 7.5km Relay""}]"
CURXTEAM2---NOR01,Norway,ORG,X,NOR,"[{'discipline': 'Curling', 'event': 'Mixed Doubles'}]"
CURMTEAM4---NOR01,Norway,ORG,M,NOR,"[{'discipline': 'Curling', 'event': 'Men'}]"
ALPMTC-----NOR01,Norway 1,ORGN,M,NOR,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
ALPMTC-----NOR02,Norway 2,ORGN,M,NOR,"[{'discipline': 'Alpine Skiing', 'event': ""Men's Team Combined""}]"
FSKXPAIRS---HUN01,PAVLOVA Maria / SVIATCHENKO Alexei,CPLW,X,HUN,"[{'discipline': 'Figure Skating', 'event': 'Pair Skating'}]"
FSKXTEAM----CHN01,People's Republic of China,ORG,X,CHN,"[{'discipline': 'Figure Skating', 'event': 'Team Event'}]"
LUGXRELAY6--CHN01,People's Republic of China,ORG,X,CHN,"[{'discipline': 'Luge', 'event': 'Team Relay'}]"
CURWTEAM4---CHN01,People's Republic of China,ORG,W,CHN,"[{'discipline': 'Curling', 'event': 'Women'}]"
CURMTEAM4---CHN01,People's Republic of China,ORG,M,CHN,"[{'discipline': 'Curling', 'event': 'Men'}]"
FRSXAET-----CHN01,People's Republic of China,ORG,X,CHN,"[{'discipline': 'Freestyle Skiing', 'event': 'Mixed Team Aerials'}]"
CCSMTEAMSP2-CHN01,People's Republic of China,ORG,M,CHN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Men's Team Sprint Free""}]"
SJPXNHTEAM4-CHN01,People's Republic of China,ORG,X,CHN,"[{'discipline': 'Ski Jumping', 'event': 'Mixed Team'}]"
SJPMLHTEAM2-CHN01,People's Republic of China,ORG,M,CHN,"[{'discipline': 'Ski Jumping', 'event': ""Men's Super Team""}]"
NCBMLH2X7.5KCHN01,People's Republic of China,ORG,M,CHN,"[{'discipline': 'Nordic Combined', 'event': 'Team Sprint'}]"
SMTXRELAY---CHN01,People's Republic of China,ORG,X,CHN,"[{'discipline': 'Ski Mountaineering', 'event': 'Mixed Relay'}]"
SSKWTEAMPU--CHN01,People's Republic of China,ORG,W,CHN,"[{'discipline': 'Speed Skating', 'event': ""Women's Team Pursuit""}]"
SSKMTEAMPU--CHN01,People's Republic of China,ORG,M,CHN,"[{'discipline': 'Speed Skating', 'event': ""Men's Team Pursuit""}]"
STKXRELAY4--CHN01,People's Republic of China,ORG,X,CHN,"[{'discipline': 'Short Track Speed Skating', 'event': 'Mixed Team Relay'}]"
STKW3000MRY4CHN01,People's Republic of China,ORG,W,CHN,"[{'discipline': 'Short Track Speed Skating', 'event': ""Women's 3000m Relay""}]"
STKM5000MRY4CHN01,People's Republic of China,ORG,M,CHN,"[{'discipline': 'Short Track Speed Skating', 'event': ""Men's 5000m Relay""}]"
CCSW4X7.5KM-CHN01,People's Republic of China,ORG,W,CHN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's 4 x 7.5km Relay""}]"
CCSWTEAMSP2-CHN01,People's Republic of China,ORG,W,CHN,"[{'discipline': 'Cross-Country Skiing', 'event': ""Women's Team Sprint Free""}]"
